Regulasi|Tipe|Tanggal|Status|Properti Regulasi|Bagian (Section)|Kode Item|Item Ref|Item|Item Description|Property|Kode Sub Item|Sub Item Ref|Sub Item
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||1|1|Otoritas Jasa Keuangan yang selanjutnya disingkat OJK adalah lembaga negara yang independen yang mempunyai fungsi, tugas, dan wewenang pengaturan, pengawasan, pemeriksaan, dan penyidikan.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||2|2|Bank Perekonomian Rakyat yang selanjutnya disingkat BPR adalah bank konvensional yang dalam kegiatannya tidak memberikan jasa dalam lalu lintas giral secara langsung.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||3|3|Bank Perekonomian Rakyat Syariah yang selanjutnya disebut BPR Syariah adalah jenis bank syariah yang dalam kegiatannya tidak memberikan jasa dalam lalu lintas giral secara langsung.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||4|4|Bank Umum Konvensional yang selanjutnya disingkat BUK adalah bank konvensional yang dalam kegiatannya memberikan jasa dalam lalu lintas pembayaran.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||5|5|Bank Umum Syariah yang selanjutnya disingkat BUS adalah jenis bank syariah yang dalam kegiatannya memberikan jasa dalam lalu lintas pembayaran.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||6|6|Lembaga Keuangan Mikro yang selanjutnya disingkat LKM adalah lembaga keuangan yang khusus didirikan untuk memberikan jasa pengembangan usaha dan pemberdayaan masyarakat, baik melalui pinjaman atau pembiayaan dalam usaha skala mikro kepada anggota dan masyarakat, pengelolaan simpanan, maupun pemberian jasa konsultasi pengembangan usaha yang tidak semata-mata mencari keuntungan.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||7|7|Kantor Pusat adalah kantor BPR atau BPR Syariah yang menjadi induk dalam organisasi BPR atau BPR Syariah sehubungan dengan pelaksanaan, dukungan, dan koordinasi kegiatan usaha BPR atau BPR Syariah, dengan tempat kedudukan yang ditentukan dalam anggaran dasar sesuai dengan ketentuan peraturan perundang-undangan.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||8|8|Kantor Wilayah adalah kantor BPR atau BPR Syariah yang membantu Kantor Pusat sehubungan dengan pelaksanaan kegiatan BPR atau BPR Syariah, serta memberikan dukungan dan koordinasi terhadap kantor BPR atau BPR Syariah di bawah organisasi Kantor Wilayah.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||9|9|Kantor Cabang adalah kantor BPR atau BPR Syariah yang melaksanakan kegiatan usaha perbankan yang secara langsung bertanggung jawab kepada Kantor Pusat atau Kantor Wilayah BPR atau BPR Syariah, dengan alamat yang jelas tempat Kantor Cabang melaksanakan kegiatan usaha.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH|POJK|25 April 2024|||Ketentuan|1|Pasal 1|Definisi istilah dalam Peraturan OJK ini|Cukup jelas.||10|10|Sentra Keuangan Khusus adalah kantor BPR atau BPR Syariah di bawah Kantor Pusat atau Kantor Cabang yang melaksanakan usaha perbankan terbatas dalam 1 (satu) kegiatan, dengan alamat yang jelas tempat Sentra Keuangan Khusus melaksanakan kegiatan usaha.
