Regulasi|Tipe|Tanggal|Status|Properti Regulasi|Bagian (Section)|Kode Item|Item Ref|Item|Item Description|Property|Kode Sub Item|Sub Item Ref|Sub Item
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||1|1|Bank Perekonomian Rakyat yang selanjutnya disingkat BPR adalah jenis bank konvensional yang dalam kegiatannya tidak memberikan jasa dalam lalu lintas giral secara langsung.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||2|2|Aset adalah aset produktif dan aset nonproduktif.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||3|3|Aset Produktif adalah penyediaan dana BPR dalam mata uang rupiah untuk memperoleh penghasilan, dalam bentuk kredit, surat berharga, penempatan pada bank lain, dan penyertaan modal.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||4|4|Penempatan pada Bank Lain adalah penempatan dana BPR pada bank lain dalam bentuk giro, tabungan, deposito, sertifikat deposito, kredit yang diberikan, dan penempatan dana lainnya yang sejenis.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||5|5|Surat Berharga adalah surat berharga yang diterbitkan oleh Bank Indonesia, Pemerintah, atau Pemerintah Daerah.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||6|6|Kredit adalah penyediaan dana atau tagihan yang dapat dipersamakan dengan itu, berdasarkan persetujuan atau kesepakatan pinjam-meminjam antara BPR dan pihak peminjam yang mewajibkan pihak peminjam untuk melunasi utangnya setelah jangka waktu tertentu dengan pemberian bunga termasuk pengalihan piutang.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||7|7|Penyertaan Modal adalah penanaman dana BPR dalam bentuk saham pada lembaga penunjang BPR dengan persyaratan sesuai dengan ketentuan peraturan perundang-undangan.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||8|8|Aset Nonproduktif adalah agunan yang diambil alih, properti terbengkalai, dan tagihan BPR yang timbul akibat pihak lawan tidak memenuhi kewajiban kepada BPR.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||9|9|Agunan Yang Diambil Alih selanjutnya disingkat AYDA adalah aset yang diperoleh BPR baik sebagian atau seluruhnya dengan cara pembelian melalui pelelangan maupun di luar pelelangan berdasarkan penyerahan secara sukarela oleh pemilik agunan atau berdasarkan kuasa untuk menjual di luar lelang dari pemilik agunan, dalam hal debitur tidak memenuhi kewajiban kepada BPR dengan ketentuan agunan yang dibeli untuk dicairkan secepatnya.
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|11 Januari 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.||10|10|Properti Terbengkalai adalah aset tetap dalam bentuk properti yang dimiliki BPR namun tidak digunakan untuk kegiatan usaha BPR yang berkaitan operasional BPR.
