Regulasi|Tipe|Tanggal|Status|Properti Regulasi|Bagian (Section)|Kode Item|Item Ref|Item|Item Description|Property|Kode Sub Item|Sub Item Ref|Sub Item
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini yang dimaksud dengan:|Cukup jelas.||1|1|Lembaga Jasa Keuangan yang selanjutnya disingkat LJK adalah lembaga yang melaksanakan kegiatan di sektor perbankan, pasar modal, perasuransian, dana pensiun, modal ventura, lembaga keuangan mikro, lembaga pembiayaan, dan lembaga jasa keuangan lainnya.
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini yang dimaksud dengan:|Cukup jelas.||2|2|Lembaga Jasa Keuangan Lainnya adalah pergadaian, lembaga penjaminan, lembaga pembiayaan ekspor Indonesia, perusahaan pembiayaan sekunder perumahan, penyelenggara layanan pendanaan bersama berbasis teknologi informasi, dan lembaga yang menyelenggarakan pengelolaan dana masyarakat yang bersifat wajib, meliputi penyelenggara program jaminan sosial, pensiun, dan kesejahteraan, sebagaimana dimaksud dalam peraturan perundang-undangan mengenai pergadaian, penjaminan, lembaga pembiayaan ekspor Indonesia, perusahaan pembiayaan sekunder perumahan, dan pengelolaan dana masyarakat yang bersifat wajib, serta lembaga jasa keuangan lain yang dinyatakan diawasi oleh Otoritas Jasa Keuangan berdasarkan ketentuan peraturan perundang-undangan.
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini yang dimaksud dengan:|Cukup jelas.||3|3|Konsumen adalah pihak yang menempatkan dananya dan/atau memanfaatkan pelayanan yang tersedia di LJK di antaranya nasabah pada perbankan, pemodal di pasar modal, pemegang polis pada perasuransian, dan peserta pada dana pensiun berdasarkan ketentuan peraturan perundang-undangan di sektor jasa keuangan.
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini yang dimaksud dengan:|Cukup jelas.||4|4|Fraud adalah tindakan penyimpangan dan/atau pembiaran yang sengaja dilakukan untuk mengelabui, menipu, atau memanipulasi LJK, Konsumen atau pihak lain, yang terjadi di lingkungan LJK dan/atau menggunakan sarana LJK sehingga mengakibatkan LJK, Konsumen, atau pihak lain menderita kerugian dan/atau pelaku Fraud dan/atau pihak lain memperoleh keuntungan secara langsung maupun tidak langsung.
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini yang dimaksud dengan:|Cukup jelas.||5|5|Strategi Anti Fraud adalah strategi LJK dalam mengendalikan Fraud yang dirancang dengan mengacu pada proses terjadinya Fraud dengan memperhatikan karakteristik dari potensi Fraud yang komprehensif dan diimplementasikan dalam bentuk sistem pengendalian Fraud.
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini yang dimaksud dengan:|Cukup jelas.||6|6|Direksi adalah organ LJK yang berwenang dan bertanggung jawab penuh atas pengurusan LJK untuk kepentingan LJK, sesuai dengan maksud dan tujuan LJK serta mewakili LJK, baik di dalam maupun di luar pengadilan sesuai dengan ketentuan anggaran dasar bagi LJK yang berbentuk badan hukum atau yang setara dengan Direksi bagi LJK yang berbentuk badan hukum koperasi, usaha bersama, dana pensiun, perusahaan umum, perusahaan daerah, perusahaan umum daerah, perusahaan perseroan daerah, atau kantor cabang/kantor perwakilan dari LJK yang berkedudukan di luar negeri, atau badan hukum lain sesuai dengan ketentuan peraturan perundang-undangan.
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini yang dimaksud dengan:|Cukup jelas.||7|7|Dewan Komisaris adalah organ LJK yang bertugas melakukan pengawasan secara umum dan/atau khusus serta memberi nasihat kepada Direksi sesuai dengan anggaran dasar bagi LJK yang berbentuk badan hukum atau yang setara dengan Direksi bagi LJK yang berbentuk badan hukum koperasi, usaha bersama, dana pensiun, perusahaan umum, perusahaan daerah, perusahaan umum daerah, perusahaan perseroan daerah, atau kantor cabang/kantor perwakilan dari LJK yang berkedudukan di luar negeri, atau badan hukum lain sesuai dengan ketentuan peraturan perundang-undangan.
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|2|Pasal 2|Jenis perbuatan yang tergolong Fraud terdiri atas:|Huruf a. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Angka 3. Cukup jelas; Angka 4. Cukup jelas; Huruf b. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Angka 3. Cukup jelas; Huruf c. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Huruf d. Cukup jelas; Huruf e. Cukup jelas; Huruf f. Cukup jelas.||1|a|korupsi meliputi:
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|2|Pasal 2|Jenis perbuatan yang tergolong Fraud terdiri atas:|Huruf a. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Angka 3. Cukup jelas; Angka 4. Cukup jelas; Huruf b. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Angka 3. Cukup jelas; Huruf c. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Huruf d. Cukup jelas; Huruf e. Cukup jelas; Huruf f. Cukup jelas.||1|1|benturan kepentingan yang merugikan LJK dan/atau Konsumen;
Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud bagi Lembaga Jasa Keuangan|POJK|23 Juli 2024|||Ketentuan|2|Pasal 2|Jenis perbuatan yang tergolong Fraud terdiri atas:|Huruf a. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Angka 3. Cukup jelas; Angka 4. Cukup jelas; Huruf b. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Angka 3. Cukup jelas; Huruf c. Angka 1. Cukup jelas; Angka 2. Cukup jelas; Huruf d. Cukup jelas; Huruf e. Cukup jelas; Huruf f. Cukup jelas.||1|2|penyuapan;
